,Abstract
0,"The case study presented here concerns two geographical areas: the Yamalo-Nenets Autonomous Okrug (Tyumen Oblast) and Nenets Autonomous Okrug (Archangelsk Oblast). The question that prompted this study was how the Nenets reindeer herders perceived the effect of climate change on reindeer husbandry. This chapter presents local understanding of reindeer husbandry related exposure-sensitivities, climatic influences on reindeer herding and local reactions to recent climate change. Herders consider that not only climate warming, but also weather instability and abruptness, resulting in the formation of ice crusts inhibiting reindeer forage access and phenological shifts and in turn contributing to both pasture overgrazing and the loss of new-born calves, are the most frequent and severe hazards occurring in recent years. The traditional reindeer herding economy has proved flexible and adaptive to the changeable environment; however the combination of current stresses may prove too severe a test. Nenets reindeer herders, despite developing means to adapt to climate change, are on the whole pessimistic about the future of a reindeer herding economy."
1,"The northward and upward movement of the tree line and gradual replacement of lichens with vascular plants associated with increasing temperatures and nutrient availability may change the reindeer pastures in Northern Fennoscandia. The productivity of reindeer forage will most probably increase, but their protein (nitrogen) concentrations may decrease because of higher temperatures and CO2 concentration. In the long term, the nutritive value of forage will depend on the mineralization rate and nutrient uptake from the soil. Enhanced UV-B is likely to increase the concentration of phenolics, decreasing forage quality and choice, but reindeer may adapt to increased phenolics. Increased winter precipitation, the occurrence of ice layers, deeper snow cover, and the appearance of molds beneath the snow cover may reduce the availability and/or quality of reindeer forage, but prolongation of snowless periods might have the opposite effect. The net balance of negative and positive effects will vary regionally depending on the climate, bedrock, vegetation, reindeer herding systems and socio-political factors. Multidisciplinary research is needed most importantly on the effects of the changing winter climate on reindeer forage, and the effect of modified forage quality on reindeer physiology."
2,"Foraging theory models are used to examine changes in reindeer body part representation in the Middle and Upper Paleolithic ungulate assemblages at Grotte XVI (Dordogne, France). Previous research suggests that climate change resulted in progressive increases in reindeer abundances throughout the region. If increased forager encounter rates with reindeer resulted in decreased transport distances and search times, central-place forager models predict that field processing at the kill site will decline and reindeer body part transport will become less selective. This prediction is supported, and reindeer skeletal element abundances are shown to become increasingly even and incorporate higher frequencies of low utility elements through time. The progressive shift in reindeer transport strategies operates across technological and hominin species boundaries including the Middle-to-Upper Palleolithic transition. (c) 2007 Elsevier Ltd. All rights reserved."
3,"Few studies have investigated current climate changes for high latitude regions, and the impact of such changes on reindeer and indigenous people. previous work by other authors has identified snow and ice conditions in winter as being critical in determining the availability of forage for reindeer. Deep snow makes it difficult to access food. Lack of food weakens the herd and can reduce the allocation of nutrients to the development of the foetus in the female deer. Climate data for Lapland, northern Finland, and Karasjok, northern Norway, are examined, together with reindeer calf numbers for the period 1977 to 1994 for the Muotkatunturi region (68 degrees N 25 degrees 30'E). Between 1883 and 1993, precipitation increased but temperatures showed no clear warming or cooling trend. However, since the late 1980s, temperatures have increased. A regression analysis on the climate and reindeer data found that the warmer the winter prior to the rut, the fewer the live calves recorded the following year (r = 0.529, p < 0.05). Also, the wetter the winter prior to the rut, the fewer the calves recorded (r = 0.427, p < 0.10). In contrast, the warmer the autumn prior to their birth, the greater the number of calves recorded (r = 0.474, p < 0.10). These results suggest that as climate changes and winters become warmer and wetter with increased snowfall, calf numbers will decline. These findings have important implications for the Saami people who are heavily dependent on the reindeer for their livelihood."
4,"There is increasing evidence that the globe is currently warming, with changes being more pronounced in northern latitudes. Understanding the ecological effects of climatic variability is therefore important. There is recent support for the idea that a large-scale atmospheric phenomenon, the North Atlantic Oscillation (NAO), through its effects on vegetation and regional weather conditions, influences several aspects of life histories and population dynamic processes of several mammal species, including reindeer Rangifer tarandus. However, patterns are inconsistent both between species and within species. Here, we focus on reindeer, a herbivore that inhabits an extremely seasonal environment. We review and discuss predicted patterns of global climatic change in Norway and assess potential consequences for reindeer husbandry. We argue that although it is clearly shown that local and global climate affect reindeer directly (e.g. increased energetic costs of moving through deep snow and in accessing forage through snow) and indirectly (e.g. effect on forage plant biomass and quality, level of insect harassment and associated parasitism), it is difficult to predict a general pattern of how future climate change will influence this species. It is especially difficult to predict how reindeer husbandry (an important economic and cultural activity for the Saami People) will be affected in Norway. Indeed, (1) patterns in life history traits and Population parameters of reindeer vary over space and time, (2) both temperature and precipitation will increase in Norway, with greater changes in the North, i.e. the areas with reindeer husbandry, but the rate of increase will vary with space and seasons, (3) there are several indirect effects of global warming that can complicate the ecological response, especially involving the response of vegetation (e.g. forage on which reindeer depend), and (4) spatial variation, seasonality, complexity of the ecosystem functioning and nonlinearity of ecological processes make any firm prediction uncertain. Consequently, it is difficult to assess the practical and socio-economic implications for the reindeer husbandry industry."
5,"We review and present a synthesis of the existing research dealing with changing Arctic tundra ecosystems, in relation to caribou and reindeer winter ranges. Whereas pan-Arctic studies have documented the effects on tundra vegetation from simulated climate change, we draw upon recent long-term regional studies in Alaska that have documented the actual, on-the-ground effects. Our review reveals signs of marked change in Arctic tundra ecosystems. Factors known to be affecting these changes include wildfire, disturbance by caribou and reindeer, differential growth responses of vascular plants and lichens, and associated competition under climate warming scenarios. These factors are interrelated, and, we posit, unidirectional: that is, they are all implicated in the significant reduction of terricolous lichen ground cover and biomass during recent decades. Lichens constitute the primary winter forage for large, migratory caribou and reindeer herds, which in turn are a critical subsistence resource for rural residents in Alaska. Thus, declines in these lichens are a major concern for rural people who harvest caribou and reindeer for subsistence, as well as for sport hunters, reindeer herders, wildlife enthusiasts and land managers. We believe a more widely distributed and better integrated research programme is warranted to quantify the magnitude and extent of the decline in lichen communities across the Arctic."
6,"I investigated the influence of global warming or climate change on the indigenous peoples of Siberia, especially reindeer herders. Historically, despite problematic management systems (governmental, municipal, or private), these indigenous peoples have adapted to various natural and social changes. This chapter reports on field research into nomadic summer and winter camps in reindeer herding regions (specifically, the villages of Olenek and Sebyan-Kyuelj) of the Sakha Republic, with comparison to West-Siberian Yamal-Nenets reindeer herders. This was accomplished by direct interviews with herders and local administrative and enterprise executives. Some informants told of direct or indirect influences of meteorological change, but most were unaware of change in vegetation for reindeer forage or noted little influence of climate changes. I detected recent vegetation change around the herding camps for pasture conditions by examining normalized difference vegetation index (NDVI) images. Using this method even over short periods, one could detect certain anomalies of vegetation productivity. However, it was difficult to discern the meaning of such anomalies and verify their cause and effect. In future research into the influence of climatic change on the indigenous peoples of Siberia, we must consider its natural and social implications."
7,"A generalized vulnerability framework was used to structure an interdisciplinary and intercultural examination of factors that influence the ways in which reindeer pastoralism in Finnmark (northern Norway) may be affected by climate change. Regional and local (downscaled) climate projections included scenarios that can potentially influence foraging conditions for reindeer. None of the projections were without precedent; several climate change events in Finnmark during the last 100 years were at least as great as those projected in the next 20-30 years. Herders' traditional responses to changes in both the natural and the socio-economic environments have depended on a flexibility in herding practice that is currently being eroded by several non-climate factors. The reduced of freedom of action resulting from loss of habitat, predation and aspects of governance (especially economic and legal constraints) potentially dwarves the putative effects of projected climate change on reindeer pastoralism. It may, however, also lead to situations in which new climatic conditions threaten the system in unprecedented ways. Developing appropriate methodologies for assessing the adaptive capacity, the vulnerability and the resilience of social-ecological systems to global changes remains a challenge. Recognition of the knowledge systems of Arctic cultures and the full engagement of local people throughout the process are key elements of the solution. (c) 2006 Elsevier Ltd. All rights reserved."
8,"The impacts of climate change on rural cultures and livelihoods depend on how the resulting complex biophysical processes may transform people's land use practices. We argue that research can incorporate local concerns of compound hazards through deterministic rather than probabilistic approaches to better understand the multiple causations involved in such climate change impacts. We apply mixed methods within a storyline approach to examine how a forest reindeer herding community in Northern Sweden copes with and experiences basal ice formation on their winter pasturelands under the influence of climatic and environmental change. Our results show that the detrimental impact of basal ice formation on the availability of winter forage for reindeer is amplified by the directional effects of climate change and encroachments, especially particular forestry practices and their surrounding infrastructure. On the one hand, we show that policy action can address local concerns through ecological interventions that improve the amount and distribution of ground and pendulous lichens at the pastoral landscape scale. On the other hand, we show that policy inaction can threaten the community's desired experience of human-animal relations in their landscape, which was inextricably connected to ecological conditions for natural pasture-based reindeer pastoralism."
9,"We studied the consequences of World War II (WWII, 1939 - 45) for reindeer herding in northern Finland, evaluated the significance of the livelihood for the population during and after the war, and identified the factors that made successful reconstruction of the livelihood possible. The study is based on qualitative content analysis of articles published in the professional journal Poromies ('Reindeer Herder') during the period 1931 - 67. Reindeer were an important source of food, transport, clothing, footwear, and skins for soldiers during the war. Approximately 220 000 reindeer were slaughtered to provide food, averting the compulsory slaughter of 88 000 cows. Herders' skills were highly valued during the war. The herds and herders figured in the reconstruction of northern Finland and contributed to the war reparations owed the Soviet Union. During the period 1939 - 45 the number of reindeer fell dramatically, and the cession of Finnish territories to the Soviet Union and destruction of fences made herding difficult. In addition, the area of pastureland available to reindeer decreased. The combined effects of military operations, a labour shortage, an increased number of predators, and difficult weather and snow conditions led to losses of reindeer. The recovery of the livelihood to its pre-war level took 10 years. We argue that in addition to improved post-war pasture conditions-a result of decreased reindeer densities and favourable weather-the rapid recovery of reindeer herding can be attributed to the high motivation, diligence, and experiential knowledge of herders and the herding administration gained in rebuilding the livelihood after WWI (1914 - 18). Both groups understood that in northern Finland it would be economically wiser to invest in reindeer husbandry rather than cattle farming since reindeer are better adapted than cattle to the harsh climate and to forage grown in low-productive soils. Reindeer herding was based on natural pastures and labour, whereas cattle farming relied on crop cultivation, as well as expensive buildings, machinery, and fertilizers."
